order,crop,country,community,year,indicator,bin,value,percentage
314,ABE,Mozambique,Small scale commercial farmers,2022/23,farmer_no_of_children,7-9 children,0.00,#DIV/0!
316,ABE,Mozambique,Subsistence farmers,2022/23,farmer_no_of_children,No children,0.00,#DIV/0!
317,ABE,Mozambique,Subsistence farmers,2022/23,farmer_no_of_children,1-3 children,0.00,#DIV/0!
318,ABE,Mozambique,Subsistence farmers,2022/23,farmer_no_of_children,4-6 children,0.00,#DIV/0!
319,ABE,Mozambique,Subsistence farmers,2022/23,farmer_no_of_children,7-9 children,0.00,#DIV/0!
321,ABE,Mozambique,Organisation farmers,2022/23,farmer_no_of_children,No children,0.00,#DIV/0!
322,ABE,Mozambique,Organisation farmers,2022/23,farmer_no_of_children,1-3 children,0.00,#DIV/0!
323,ABE,Mozambique,Organisation farmers,2022/23,farmer_no_of_children,4-6 children,0.00,#DIV/0!
324,ABE,Mozambique,Organisation farmers,2022/23,farmer_no_of_children,7-9 children,0.00,#DIV/0!
326,ABE,Zimbabwe,Zimbabwe,2022/23,farmland_beyond_ABE,Yes,59.00,0.9833
327,ABE,Zimbabwe,Zimbabwe,2022/23,farmland_beyond_ABE,No,1.00,0.0167
328,ABE,Zimbabwe,Birchenough,2022/23,farmland_beyond_ABE,Yes,18.00,1.0000
329,ABE,Zimbabwe,Birchenough,2022/23,farmland_beyond_ABE,No,0.00,0.0000
330,ABE,Zimbabwe,Zaka,2022/23,farmland_beyond_ABE,Yes,21.00,1.0000
331,ABE,Zimbabwe,Zaka,2022/23,farmland_beyond_ABE,No,0.00,0.0000
332,ABE,Zimbabwe,Ruware,2022/23,farmland_beyond_ABE,Yes,20.00,0.9524
333,ABE,Zimbabwe,Ruware,2022/23,farmland_beyond_ABE,No,1.00,0.0476
334,ABE,Malawi,Malawi,2022/23,farmland_beyond_ABE,Yes,40.00,1.0000
335,ABE,Malawi,Malawi,2022/23,farmland_beyond_ABE,No,0.00,0.0000
336,ABE,Malawi,Chikwawa,2022/23,farmland_beyond_ABE,Yes,21.00,1.0000
337,ABE,Malawi,Chikwawa,2022/23,farmland_beyond_ABE,No,0.00,0.0000
338,ABE,Malawi,Katowo,2022/23,farmland_beyond_ABE,Yes,19.00,1.0000
339,ABE,Malawi,Katowo,2022/23,farmland_beyond_ABE,No,0.00,0.0000
340,ABE,Zimbabwe,Zimbabwe,2022/23,total_farmland_size,<1ha,39.00,0.5270
341,ABE,Zimbabwe,Zimbabwe,2022/23,total_farmland_size,1-1.9ha,14.00,0.1892
342,ABE,Zimbabwe,Zimbabwe,2022/23,total_farmland_size,2-2.9ha,6.00,0.0811
343,ABE,Zimbabwe,Zimbabwe,2022/23,total_farmland_size,3-3.9ha,8.00,0.1081
344,ABE,Zimbabwe,Zimbabwe,2022/23,total_farmland_size,4-4.9ha,0.00,0.0000
345,ABE,Zimbabwe,Zimbabwe,2022/23,total_farmland_size,5-5.9ha,4.00,0.0541
346,ABE,Zimbabwe,Zimbabwe,2022/23,total_farmland_size,6-6.9ha,2.00,0.0270
347,ABE,Zimbabwe,Zimbabwe,2022/23,total_farmland_size,7-7.9ha,0.00,0.0000
348,ABE,Zimbabwe,Zimbabwe,2022/23,total_farmland_size,8-8.9ha,1.00,0.0135
349,ABE,Zimbabwe,Zimbabwe,2022/23,total_farmland_size,9-9.9ha,0.00,0.0000
350,ABE,Zimbabwe,Zimbabwe,2022/23,total_farmland_size,10ha+,0.00,0.0000
351,ABE,Zimbabwe,Birchenough,2022/23,total_farmland_size,<1ha,15.00,0.7143
352,ABE,Zimbabwe,Birchenough,2022/23,total_farmland_size,1-1.9ha,3.00,0.1429
353,ABE,Zimbabwe,Birchenough,2022/23,total_farmland_size,2-2.9ha,0.00,0.0000
354,ABE,Zimbabwe,Birchenough,2022/23,total_farmland_size,3-3.9ha,1.00,0.0476
355,ABE,Zimbabwe,Birchenough,2022/23,total_farmland_size,4-4.9ha,0.00,0.0000
356,ABE,Zimbabwe,Birchenough,2022/23,total_farmland_size,5-5.9ha,1.00,0.0476
357,ABE,Zimbabwe,Birchenough,2022/23,total_farmland_size,6-6.9ha,0.00,0.0000
358,ABE,Zimbabwe,Birchenough,2022/23,total_farmland_size,7-7.9ha,0.00,0.0000
359,ABE,Zimbabwe,Birchenough,2022/23,total_farmland_size,8-8.9ha,1.00,0.0476
360,ABE,Zimbabwe,Birchenough,2022/23,total_farmland_size,9-9.9ha,0.00,0.0000
361,ABE,Zimbabwe,Birchenough,2022/23,total_farmland_size,10ha+,0.00,0.0000
362,ABE,Zimbabwe,Zaka,2022/23,total_farmland_size,<1ha,18.00,0.6000
363,ABE,Zimbabwe,Zaka,2022/23,total_farmland_size,1-1.9ha,9.00,0.3000
364,ABE,Zimbabwe,Zaka,2022/23,total_farmland_size,2-2.9ha,2.00,0.0667
365,ABE,Zimbabwe,Zaka,2022/23,total_farmland_size,3-3.9ha,1.00,0.0333
366,ABE,Zimbabwe,Zaka,2022/23,total_farmland_size,4-4.9ha,0.00,0.0000
367,ABE,Zimbabwe,Zaka,2022/23,total_farmland_size,5-5.9ha,0.00,0.0000
368,ABE,Zimbabwe,Zaka,2022/23,total_farmland_size,6-6.9ha,0.00,0.0000
369,ABE,Zimbabwe,Zaka,2022/23,total_farmland_size,7-7.9ha,0.00,0.0000
370,ABE,Zimbabwe,Zaka,2022/23,total_farmland_size,8-8.9ha,0.00,0.0000
371,ABE,Zimbabwe,Zaka,2022/23,total_farmland_size,9-9.9ha,0.00,0.0000
372,ABE,Zimbabwe,Zaka,2022/23,total_farmland_size,10ha+,0.00,0.0000
373,ABE,Zimbabwe,Ruware,2022/23,total_farmland_size,<1ha,6.00,0.2609
374,ABE,Zimbabwe,Ruware,2022/23,total_farmland_size,1-1.9ha,2.00,0.0870
375,ABE,Zimbabwe,Ruware,2022/23,total_farmland_size,2-2.9ha,4.00,0.1739
376,ABE,Zimbabwe,Ruware,2022/23,total_farmland_size,3-3.9ha,6.00,0.2609
377,ABE,Zimbabwe,Ruware,2022/23,total_farmland_size,4-4.9ha,0.00,0.0000
378,ABE,Zimbabwe,Ruware,2022/23,total_farmland_size,5-5.9ha,3.00,0.1304
379,ABE,Zimbabwe,Ruware,2022/23,total_farmland_size,6-6.9ha,2.00,0.0870
380,ABE,Zimbabwe,Ruware,2022/23,total_farmland_size,7-7.9ha,0.00,0.0000
381,ABE,Zimbabwe,Ruware,2022/23,total_farmland_size,8-8.9ha,0.00,0.0000
382,ABE,Zimbabwe,Ruware,2022/23,total_farmland_size,9-9.9ha,0.00,0.0000
383,ABE,Zimbabwe,Ruware,2022/23,total_farmland_size,10ha+,0.00,0.0000
384,ABE,Malawi,Malawi,2022/23,total_farmland_size,<1ha,31.00,0.4921
385,ABE,Malawi,Malawi,2022/23,total_farmland_size,1-1.9ha,21.00,0.3333
386,ABE,Malawi,Malawi,2022/23,total_farmland_size,2-2.9ha,6.00,0.0952
387,ABE,Malawi,Malawi,2022/23,total_farmland_size,3-3.9ha,1.00,0.0159
388,ABE,Malawi,Malawi,2022/23,total_farmland_size,4-4.9ha,1.00,0.0159
389,ABE,Malawi,Malawi,2022/23,total_farmland_size,5-5.9ha,0.00,0.0000
390,ABE,Malawi,Malawi,2022/23,total_farmland_size,6-6.9ha,1.00,0.0159
391,ABE,Malawi,Malawi,2022/23,total_farmland_size,7-7.9ha,0.00,0.0000
392,ABE,Malawi,Malawi,2022/23,total_farmland_size,8-8.9ha,0.00,0.0000
393,ABE,Malawi,Malawi,2022/23,total_farmland_size,9-9.9ha,0.00,0.0000
394,ABE,Malawi,Malawi,2022/23,total_farmland_size,10ha+,2.00,0.0317
395,ABE,Malawi,Chikwawa,2022/23,total_farmland_size,<1ha,17.00,0.5000
396,ABE,Malawi,Chikwawa,2022/23,total_farmland_size,1-1.9ha,12.00,0.3529
397,ABE,Malawi,Chikwawa,2022/23,total_farmland_size,2-2.9ha,3.00,0.0882
398,ABE,Malawi,Chikwawa,2022/23,total_farmland_size,3-3.9ha,1.00,0.0294
399,ABE,Malawi,Chikwawa,2022/23,total_farmland_size,4-4.9ha,0.00,0.0000
400,ABE,Malawi,Chikwawa,2022/23,total_farmland_size,5-5.9ha,0.00,0.0000
401,ABE,Malawi,Chikwawa,2022/23,total_farmland_size,6-6.9ha,0.00,0.0000
402,ABE,Malawi,Chikwawa,2022/23,total_farmland_size,7-7.9ha,0.00,0.0000
403,ABE,Malawi,Chikwawa,2022/23,total_farmland_size,8-8.9ha,0.00,0.0000
404,ABE,Malawi,Chikwawa,2022/23,total_farmland_size,9-9.9ha,0.00,0.0000
405,ABE,Malawi,Chikwawa,2022/23,total_farmland_size,10ha+,1.00,0.0294
406,ABE,Malawi,Katowo,2022/23,total_farmland_size,<1ha,14.00,0.4828
407,ABE,Malawi,Katowo,2022/23,total_farmland_size,1-1.9ha,9.00,0.3103
408,ABE,Malawi,Katowo,2022/23,total_farmland_size,2-2.9ha,3.00,0.1034
409,ABE,Malawi,Katowo,2022/23,total_farmland_size,3-3.9ha,0.00,0.0000
410,ABE,Malawi,Katowo,2022/23,total_farmland_size,4-4.9ha,1.00,0.0345
411,ABE,Malawi,Katowo,2022/23,total_farmland_size,5-5.9ha,0.00,0.0000
412,ABE,Malawi,Katowo,2022/23,total_farmland_size,6-6.9ha,1.00,0.0345
413,ABE,Malawi,Katowo,2022/23,total_farmland_size,7-7.9ha,0.00,0.0000
414,ABE,Malawi,Katowo,2022/23,total_farmland_size,8-8.9ha,0.00,0.0000
415,ABE,Malawi,Katowo,2022/23,total_farmland_size,9-9.9ha,0.00,0.0000
416,ABE,Malawi,Katowo,2022/23,total_farmland_size,10ha+,1.00,0.0345
417,ABE,Zimbabwe,Zimbabwe,2022/23,farmland_irrigation,Yes,46.00,0.7797
418,ABE,Zimbabwe,Zimbabwe,2022/23,farmland_irrigation,Partially,7.00,0.1186
419,ABE,Zimbabwe,Zimbabwe,2022/23,farmland_irrigation,No,6.00,0.1017
420,ABE,Zimbabwe,Birchenough,2022/23,farmland_irrigation,Yes,17.00,0.9444
421,ABE,Zimbabwe,Birchenough,2022/23,farmland_irrigation,Partially,0.00,0.0000
422,ABE,Zimbabwe,Birchenough,2022/23,farmland_irrigation,No,1.00,0.0556
423,ABE,Zimbabwe,Zaka,2022/23,farmland_irrigation,Yes,17.00,0.8095
424,ABE,Zimbabwe,Zaka,2022/23,farmland_irrigation,Partially,3.00,0.1429
425,ABE,Zimbabwe,Zaka,2022/23,farmland_irrigation,No,1.00,0.0476
426,ABE,Zimbabwe,Ruware,2022/23,farmland_irrigation,Yes,12.00,0.6000
427,ABE,Zimbabwe,Ruware,2022/23,farmland_irrigation,Partially,4.00,0.2000
428,ABE,Zimbabwe,Ruware,2022/23,farmland_irrigation,No,4.00,0.2000
429,ABE,Malawi,Malawi,2022/23,farmland_irrigation,Yes,4.00,0.1000
430,ABE,Malawi,Malawi,2022/23,farmland_irrigation,Partially,2.00,0.0500
431,ABE,Malawi,Malawi,2022/23,farmland_irrigation,No,34.00,0.8500
432,ABE,Malawi,Chikwawa,2022/23,farmland_irrigation,Yes,1.00,0.0476
433,ABE,Malawi,Chikwawa,2022/23,farmland_irrigation,Partially,0.00,0.0000
434,ABE,Malawi,Chikwawa,2022/23,farmland_irrigation,No,20.00,0.9524
435,ABE,Malawi,Katowo,2022/23,farmland_irrigation,Yes,3.00,0.1579
436,ABE,Malawi,Katowo,2022/23,farmland_irrigation,Partially,2.00,0.1053
437,ABE,Malawi,Katowo,2022/23,farmland_irrigation,No,14.00,0.7368
438,ABE,Zimbabwe,Zimbabwe,2022/23,percentage_farmland_for_ABE,0-24%,33.00,0.6000
439,ABE,Zimbabwe,Zimbabwe,2022/23,percentage_farmland_for_ABE,25-49%,10.00,0.1818
440,ABE,Zimbabwe,Zimbabwe,2022/23,percentage_farmland_for_ABE,50-74%,8.00,0.1455
441,ABE,Zimbabwe,Zimbabwe,2022/23,percentage_farmland_for_ABE,75-100%,4.00,0.0727
442,ABE,Zimbabwe,Birchenough,2022/23,percentage_farmland_for_ABE,0-24%,7.00,0.3889
443,ABE,Zimbabwe,Birchenough,2022/23,percentage_farmland_for_ABE,25-49%,3.00,0.1667
444,ABE,Zimbabwe,Birchenough,2022/23,percentage_farmland_for_ABE,50-74%,6.00,0.3333
445,ABE,Zimbabwe,Birchenough,2022/23,percentage_farmland_for_ABE,75-100%,2.00,0.1111
446,ABE,Zimbabwe,Zaka,2022/23,percentage_farmland_for_ABE,0-24%,10.00,0.5556
447,ABE,Zimbabwe,Zaka,2022/23,percentage_farmland_for_ABE,25-49%,5.00,0.2778
448,ABE,Zimbabwe,Zaka,2022/23,percentage_farmland_for_ABE,50-74%,1.00,0.0556
449,ABE,Zimbabwe,Zaka,2022/23,percentage_farmland_for_ABE,75-100%,2.00,0.1111
450,ABE,Zimbabwe,Ruware,2022/23,percentage_farmland_for_ABE,0-24%,16.00,0.8421
451,ABE,Zimbabwe,Ruware,2022/23,percentage_farmland_for_ABE,25-49%,2.00,0.1053
452,ABE,Zimbabwe,Ruware,2022/23,percentage_farmland_for_ABE,50-74%,1.00,0.0526
453,ABE,Zimbabwe,Ruware,2022/23,percentage_farmland_for_ABE,75-100%,0.00,0.0000
454,ABE,Malawi,Malawi,2022/23,percentage_farmland_for_ABE,0-24%,29.00,0.7250
455,ABE,Malawi,Malawi,2022/23,percentage_farmland_for_ABE,25-49%,11.00,0.2750
456,ABE,Malawi,Malawi,2022/23,percentage_farmland_for_ABE,50-74%,0.00,0.0000
457,ABE,Malawi,Malawi,2022/23,percentage_farmland_for_ABE,75-100%,0.00,0.0000
458,ABE,Malawi,Chikwawa,2022/23,percentage_farmland_for_ABE,0-24%,14.00,0.6667
459,ABE,Malawi,Chikwawa,2022/23,percentage_farmland_for_ABE,25-49%,7.00,0.3333
460,ABE,Malawi,Chikwawa,2022/23,percentage_farmland_for_ABE,50-74%,0.00,0.0000
461,ABE,Malawi,Chikwawa,2022/23,percentage_farmland_for_ABE,75-100%,0.00,0.0000
462,ABE,Malawi,Katowo,2022/23,percentage_farmland_for_ABE,0-24%,15.00,0.7895
463,ABE,Malawi,Katowo,2022/23,percentage_farmland_for_ABE,25-49%,4.00,0.2105
464,ABE,Malawi,Katowo,2022/23,percentage_farmland_for_ABE,50-74%,0.00,0.0000
465,ABE,Malawi,Katowo,2022/23,percentage_farmland_for_ABE,75-100%,0.00,0.0000
466,ABE,Zimbabwe,Zimbabwe,2022/23,other_crops_grown,Bananas,9.00,0.0479
467,ABE,Zimbabwe,Zimbabwe,2022/23,other_crops_grown,Beans,39.00,0.2074
468,ABE,Zimbabwe,Zimbabwe,2022/23,other_crops_grown,Cabbage,6.00,0.0319
469,ABE,Zimbabwe,Zimbabwe,2022/23,other_crops_grown,Cotton,7.00,0.0372
470,ABE,Zimbabwe,Zimbabwe,2022/23,other_crops_grown,Ground nuts,24.00,0.1277
471,ABE,Zimbabwe,Zimbabwe,2022/23,other_crops_grown,Maize,52.00,0.2766
472,ABE,Zimbabwe,Zimbabwe,2022/23,other_crops_grown,Okra,2.00,0.0106
473,ABE,Zimbabwe,Zimbabwe,2022/23,other_crops_grown,Onions,4.00,0.0213
474,ABE,Zimbabwe,Zimbabwe,2022/23,other_crops_grown,Potatoes,0.00,0.0000
475,ABE,Zimbabwe,Zimbabwe,2022/23,other_crops_grown,Round nuts,1.00,0.0053
476,ABE,Zimbabwe,Zimbabwe,2022/23,other_crops_grown,Sesame,2.00,0.0106
477,ABE,Zimbabwe,Zimbabwe,2022/23,other_crops_grown,Sorghum,1.00,0.0053
478,ABE,Zimbabwe,Zimbabwe,2022/23,other_crops_grown,Spinach,0.00,0.0000
479,ABE,Zimbabwe,Zimbabwe,2022/23,other_crops_grown,Sweet potatoes,1.00,0.0053
480,ABE,Zimbabwe,Zimbabwe,2022/23,other_crops_grown,Tobacco,0.00,0.0000
481,ABE,Zimbabwe,Zimbabwe,2022/23,other_crops_grown,Tomatoes,20.00,0.1064
482,ABE,Zimbabwe,Zimbabwe,2022/23,other_crops_grown,Wheat,15.00,0.0798
483,ABE,Zimbabwe,Zimbabwe,2022/23,other_crops_grown,Other,5.00,0.0266
484,ABE,Zimbabwe,Birchenough,2022/23,other_crops_grown,Bananas,0.00,0.0000
485,ABE,Zimbabwe,Birchenough,2022/23,other_crops_grown,Beans,6.00,0.1176
486,ABE,Zimbabwe,Birchenough,2022/23,other_crops_grown,Cabbage,2.00,0.0392
487,ABE,Zimbabwe,Birchenough,2022/23,other_crops_grown,Cotton,0.00,0.0000
488,ABE,Zimbabwe,Birchenough,2022/23,other_crops_grown,Ground nuts,9.00,0.1765
489,ABE,Zimbabwe,Birchenough,2022/23,other_crops_grown,Maize,16.00,0.3137
490,ABE,Zimbabwe,Birchenough,2022/23,other_crops_grown,Okra,1.00,0.0196
491,ABE,Zimbabwe,Birchenough,2022/23,other_crops_grown,Onions,2.00,0.0392
492,ABE,Zimbabwe,Birchenough,2022/23,other_crops_grown,Potatoes,0.00,0.0000
493,ABE,Zimbabwe,Birchenough,2022/23,other_crops_grown,Round nuts,0.00,0.0000
494,ABE,Zimbabwe,Birchenough,2022/23,other_crops_grown,Sesame,0.00,0.0000
495,ABE,Zimbabwe,Birchenough,2022/23,other_crops_grown,Sorghum,0.00,0.0000
496,ABE,Zimbabwe,Birchenough,2022/23,other_crops_grown,Spinach,0.00,0.0000
497,ABE,Zimbabwe,Birchenough,2022/23,other_crops_grown,Sweet potatoes,0.00,0.0000
498,ABE,Zimbabwe,Birchenough,2022/23,other_crops_grown,Tobacco,0.00,0.0000
499,ABE,Zimbabwe,Birchenough,2022/23,other_crops_grown,Tomatoes,10.00,0.1961
500,ABE,Zimbabwe,Birchenough,2022/23,other_crops_grown,Wheat,3.00,0.0588
501,ABE,Zimbabwe,Birchenough,2022/23,other_crops_grown,Other,2.00,0.0392
502,ABE,Zimbabwe,Zaka,2022/23,other_crops_grown,Bananas,0.00,0.0000
503,ABE,Zimbabwe,Zaka,2022/23,other_crops_grown,Beans,17.00,0.2237
504,ABE,Zimbabwe,Zaka,2022/23,other_crops_grown,Cabbage,3.00,0.0395
505,ABE,Zimbabwe,Zaka,2022/23,other_crops_grown,Cotton,0.00,0.0000
506,ABE,Zimbabwe,Zaka,2022/23,other_crops_grown,Ground nuts,14.00,0.1842
507,ABE,Zimbabwe,Zaka,2022/23,other_crops_grown,Maize,18.00,0.2368
508,ABE,Zimbabwe,Zaka,2022/23,other_crops_grown,Okra,1.00,0.0132
509,ABE,Zimbabwe,Zaka,2022/23,other_crops_grown,Onions,1.00,0.0132
510,ABE,Zimbabwe,Zaka,2022/23,other_crops_grown,Potatoes,0.00,0.0000
511,ABE,Zimbabwe,Zaka,2022/23,other_crops_grown,Round nuts,1.00,0.0132
512,ABE,Zimbabwe,Zaka,2022/23,other_crops_grown,Sesame,0.00,0.0000
513,ABE,Zimbabwe,Zaka,2022/23,other_crops_grown,Sorghum,1.00,0.0132
514,ABE,Zimbabwe,Zaka,2022/23,other_crops_grown,Spinach,0.00,0.0000
515,ABE,Zimbabwe,Zaka,2022/23,other_crops_grown,Sweet potatoes,1.00,0.0132
516,ABE,Zimbabwe,Zaka,2022/23,other_crops_grown,Tobacco,0.00,0.0000
517,ABE,Zimbabwe,Zaka,2022/23,other_crops_grown,Tomatoes,7.00,0.0921
518,ABE,Zimbabwe,Zaka,2022/23,other_crops_grown,Wheat,10.00,0.1316
519,ABE,Zimbabwe,Zaka,2022/23,other_crops_grown,Other,2.00,0.0263
520,ABE,Zimbabwe,Ruware,2022/23,other_crops_grown,Bananas,0.00,0.0000
521,ABE,Zimbabwe,Ruware,2022/23,other_crops_grown,Beans,16.00,0.3077
522,ABE,Zimbabwe,Ruware,2022/23,other_crops_grown,Cabbage,1.00,0.0192
523,ABE,Zimbabwe,Ruware,2022/23,other_crops_grown,Cotton,7.00,0.1346
524,ABE,Zimbabwe,Ruware,2022/23,other_crops_grown,Ground nuts,1.00,0.0192
525,ABE,Zimbabwe,Ruware,2022/23,other_crops_grown,Maize,18.00,0.3462
526,ABE,Zimbabwe,Ruware,2022/23,other_crops_grown,Okra,0.00,0.0000
527,ABE,Zimbabwe,Ruware,2022/23,other_crops_grown,Onions,1.00,0.0192
528,ABE,Zimbabwe,Ruware,2022/23,other_crops_grown,Potatoes,0.00,0.0000
529,ABE,Zimbabwe,Ruware,2022/23,other_crops_grown,Round nuts,0.00,0.0000
530,ABE,Zimbabwe,Ruware,2022/23,other_crops_grown,Sesame,2.00,0.0385
531,ABE,Zimbabwe,Ruware,2022/23,other_crops_grown,Sorghum,0.00,0.0000
532,ABE,Zimbabwe,Ruware,2022/23,other_crops_grown,Spinach,0.00,0.0000
533,ABE,Zimbabwe,Ruware,2022/23,other_crops_grown,Sweet potatoes,0.00,0.0000
534,ABE,Zimbabwe,Ruware,2022/23,other_crops_grown,Tobacco,0.00,0.0000
535,ABE,Zimbabwe,Ruware,2022/23,other_crops_grown,Tomatoes,3.00,0.0577
536,ABE,Zimbabwe,Ruware,2022/23,other_crops_grown,Wheat,2.00,0.0385
537,ABE,Zimbabwe,Ruware,2022/23,other_crops_grown,Other,1.00,0.0192
538,ABE,Malawi,Malawi,2022/23,other_crops_grown,Bananas,0.00,0.0000
539,ABE,Malawi,Malawi,2022/23,other_crops_grown,Beans,14.00,0.1750
540,ABE,Malawi,Malawi,2022/23,other_crops_grown,Cabbage,0.00,0.0000
541,ABE,Malawi,Malawi,2022/23,other_crops_grown,Cotton,0.00,0.0000
542,ABE,Malawi,Malawi,2022/23,other_crops_grown,Ground nuts,10.00,0.1250
543,ABE,Malawi,Malawi,2022/23,other_crops_grown,Maize,33.00,0.4125
544,ABE,Malawi,Malawi,2022/23,other_crops_grown,Okra,0.00,0.0000
545,ABE,Malawi,Malawi,2022/23,other_crops_grown,Onions,1.00,0.0125
546,ABE,Malawi,Malawi,2022/23,other_crops_grown,Potatoes,1.00,0.0125
547,ABE,Malawi,Malawi,2022/23,other_crops_grown,Round nuts,3.00,0.0375
548,ABE,Malawi,Malawi,2022/23,other_crops_grown,Sesame,0.00,0.0000
549,ABE,Malawi,Malawi,2022/23,other_crops_grown,Sorghum,0.00,0.0000
550,ABE,Malawi,Malawi,2022/23,other_crops_grown,Spinach,0.00,0.0000
551,ABE,Malawi,Malawi,2022/23,other_crops_grown,Sweet potatoes,4.00,0.0500
552,ABE,Malawi,Malawi,2022/23,other_crops_grown,Tobacco,3.00,0.0375
553,ABE,Malawi,Malawi,2022/23,other_crops_grown,Tomatoes,2.00,0.0250
554,ABE,Malawi,Malawi,2022/23,other_crops_grown,Wheat,0.00,0.0000
555,ABE,Malawi,Malawi,2022/23,other_crops_grown,Other,9.00,0.1125
556,ABE,Malawi,Chikwawa,2022/23,other_crops_grown,Bananas,0.00,0.0000
557,ABE,Malawi,Chikwawa,2022/23,other_crops_grown,Beans,8.00,0.2222
558,ABE,Malawi,Chikwawa,2022/23,other_crops_grown,Cabbage,0.00,0.0000
559,ABE,Malawi,Chikwawa,2022/23,other_crops_grown,Cotton,0.00,0.0000
560,ABE,Malawi,Chikwawa,2022/23,other_crops_grown,Ground nuts,3.00,0.0833
561,ABE,Malawi,Chikwawa,2022/23,other_crops_grown,Maize,16.00,0.4444
562,ABE,Malawi,Chikwawa,2022/23,other_crops_grown,Okra,0.00,0.0000
563,ABE,Malawi,Chikwawa,2022/23,other_crops_grown,Onions,0.00,0.0000
564,ABE,Malawi,Chikwawa,2022/23,other_crops_grown,Potatoes,0.00,0.0000
565,ABE,Malawi,Chikwawa,2022/23,other_crops_grown,Round nuts,1.00,0.0278
566,ABE,Malawi,Chikwawa,2022/23,other_crops_grown,Sesame,0.00,0.0000
567,ABE,Malawi,Chikwawa,2022/23,other_crops_grown,Sorghum,0.00,0.0000
568,ABE,Malawi,Chikwawa,2022/23,other_crops_grown,Spinach,0.00,0.0000
569,ABE,Malawi,Chikwawa,2022/23,other_crops_grown,Sweet potatoes,1.00,0.0278
570,ABE,Malawi,Chikwawa,2022/23,other_crops_grown,Tobacco,2.00,0.0556
571,ABE,Malawi,Chikwawa,2022/23,other_crops_grown,Tomatoes,0.00,0.0000
572,ABE,Malawi,Chikwawa,2022/23,other_crops_grown,Wheat,0.00,0.0000
573,ABE,Malawi,Chikwawa,2022/23,other_crops_grown,Other,5.00,0.1389
574,ABE,Malawi,Katowo,2022/23,other_crops_grown,Bananas,0.00,0.0000
575,ABE,Malawi,Katowo,2022/23,other_crops_grown,Beans,6.00,0.1364
576,ABE,Malawi,Katowo,2022/23,other_crops_grown,Cabbage,0.00,0.0000
577,ABE,Malawi,Katowo,2022/23,other_crops_grown,Cotton,0.00,0.0000
578,ABE,Malawi,Katowo,2022/23,other_crops_grown,Ground nuts,7.00,0.1591
579,ABE,Malawi,Katowo,2022/23,other_crops_grown,Maize,17.00,0.3864
580,ABE,Malawi,Katowo,2022/23,other_crops_grown,Okra,0.00,0.0000
581,ABE,Malawi,Katowo,2022/23,other_crops_grown,Onions,1.00,0.0227
582,ABE,Malawi,Katowo,2022/23,other_crops_grown,Potatoes,1.00,0.0227
583,ABE,Malawi,Katowo,2022/23,other_crops_grown,Round nuts,2.00,0.0455
584,ABE,Malawi,Katowo,2022/23,other_crops_grown,Sesame,0.00,0.0000
585,ABE,Malawi,Katowo,2022/23,other_crops_grown,Sorghum,0.00,0.0000
586,ABE,Malawi,Katowo,2022/23,other_crops_grown,Spinach,0.00,0.0000
587,ABE,Malawi,Katowo,2022/23,other_crops_grown,Sweet potatoes,3.00,0.0682
588,ABE,Malawi,Katowo,2022/23,other_crops_grown,Tobacco,1.00,0.0227
589,ABE,Malawi,Katowo,2022/23,other_crops_grown,Tomatoes,2.00,0.0455
590,ABE,Malawi,Katowo,2022/23,other_crops_grown,Wheat,0.00,0.0000
591,ABE,Malawi,Katowo,2022/23,other_crops_grown,Other,4.00,0.0909
592,ABE,Zimbabwe,Zimbabwe,2022/23,fresh_yield_ABE,0-499 kg,118.00,0.2107
593,ABE,Zimbabwe,Zimbabwe,2022/23,fresh_yield_ABE,500-999 kg,190.00,0.3393
594,ABE,Zimbabwe,Zimbabwe,2022/23,fresh_yield_ABE,1000-1499 kg,133.00,0.2375
595,ABE,Zimbabwe,Zimbabwe,2022/23,fresh_yield_ABE,1500-1999 kg,54.00,0.0964
596,ABE,Zimbabwe,Zimbabwe,2022/23,fresh_yield_ABE,2000-2499 kg,28.00,0.0500
597,ABE,Zimbabwe,Zimbabwe,2022/23,fresh_yield_ABE,2500+ kg,37.00,0.0661
598,ABE,Zimbabwe,Birchenough,2022/23,fresh_yield_ABE,0-499 kg,36.00,0.1358
599,ABE,Zimbabwe,Birchenough,2022/23,fresh_yield_ABE,500-999 kg,82.00,0.3094
600,ABE,Zimbabwe,Birchenough,2022/23,fresh_yield_ABE,1000-1499 kg,63.00,0.2377
601,ABE,Zimbabwe,Birchenough,2022/23,fresh_yield_ABE,1500-1999 kg,40.00,0.1509
602,ABE,Zimbabwe,Birchenough,2022/23,fresh_yield_ABE,2000-2499 kg,16.00,0.0604
603,ABE,Zimbabwe,Birchenough,2022/23,fresh_yield_ABE,2500+ kg,28.00,0.1057
604,ABE,Zimbabwe,Zaka,2022/23,fresh_yield_ABE,0-499 kg,48.00,0.2712
605,ABE,Zimbabwe,Zaka,2022/23,fresh_yield_ABE,500-999 kg,62.00,0.3503
606,ABE,Zimbabwe,Zaka,2022/23,fresh_yield_ABE,1000-1499 kg,45.00,0.2542
607,ABE,Zimbabwe,Zaka,2022/23,fresh_yield_ABE,1500-1999 kg,10.00,0.0565
608,ABE,Zimbabwe,Zaka,2022/23,fresh_yield_ABE,2000-2499 kg,7.00,0.0395
